2025-01-25 03:40:48 - Debugger session started.
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:40:48 - 
Resonance: 0 | Inflow: 0 | Outflow: 0 | Overflow: 0
- C3 | Intensity: 32

False | False | False | False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:48 - NaN Check: 1 False
2025-01-25 03:40:48 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
